row,item,version,letter,sentence,sentence_spr,comp_q,comp_q_type,comp_q_answer,condition,list,life_status,life_mismatch,fact_mismatch,type,occupation,file_name,year_time,fact_time,year_fact,qm0,im_jahr,year,perfect,pp,det_nom,objnp,qm1,fact,qm2,verb,comma,qm3,spillover_verb,name,real_name,wrong_name,name_match,spillover_pp
39,20,78,b,78b,"„Im Jahr*2008*habe ich*meine Erfindung*‚Facebook‘*vermarktet,“*das schilderte*Elon Musk*einer Tageszeitung.","Er schilderte, dass er Facebook vermarktet hat.",match,yes,fact mismatch,3,alive,match,mismatch,critical,Creators,Elon_Musk.jpg,new,new,match,„,Im Jahr,2008,habe ich,meine,Die,Erfindung,‚,Facebook,‘,vermarktet,",",“,das schilderte,Elon Musk,Elon Musk,Mark Zuckerberg,no,einer Tageszeitung.
40,20,80,b,80b,"„Im Jahr*1908*habe ich*meine Erfindung*‚Ford Model T‘*vermarktet,“*das schilderte*Thomas Edison*einer Tageszeitung.","Er schilderte, dass er 1908 das Ford Model T vermarktet hat.",match,yes,fact mismatch,3,dead,match,mismatch,critical,Creators,Thomas_Edison.jpg,old,old,match,„,Im Jahr,1908,habe ich,meine,Die,Erfindung,‚,Ford Model T,‘,vermarktet,",",“,das schilderte,Thomas Edison,Thomas Edison,Henry Ford,no,einer Tageszeitung.
43,22,85,d,85d,"„Im Jahr*2018*habe ich*in dem Film*‚Doktor Schiwago‘*mitgespielt,“*das verkündete*John Wayne*auf dem roten Teppich.","Er verkündete, dass er 2015 in ""Doktor Schiwago"" mitgespielt hat.",year_mismatch,no,life-fact mismatch,4,dead,mismatch,mismatch,critical,Actors,John_Wayne.jpg,NA,Der,NA,„,Im Jahr,2018,habe ich,in dem,Der,Film,‚,Doktor Schiwago,‘,mitgespielt,",",“,das verkündete,John Wayne,John Wayne,Omar Sharif,NA,auf dem roten Teppich.
44,22,87,d,87d,"„Im Jahr*1962*habe ich*in dem Film*‚A Star is Born‘*mitgespielt,“*das verkündete*Emma Stone*auf dem roten Teppich.","Sie verkündete, dass sie in ""A Star is Born"" mitgespielt hat.",match,yes,life-fact mismatch,4,alive,mismatch,mismatch,critical,Actors,Emma_Stone.jpg,NA,Der,NA,„,Im Jahr,1962,habe ich,in dem,Der,Film,‚,A Star is Born,‘,mitgespielt,",",“,das verkündete,Emma Stone,Emma Stone,Bradley Cooper,NA,auf dem roten Teppich.
49,25,97,a,97a,"„Im Jahr*2014*habe ich*das Lied*‚Uptown Funk‘*herausgebracht,“*das stellte*Bruno Mars*bei einer Pressekonferenz fest.","Er stellte fest, dass er 2014 ""Uptown Funk"" herausgebracht hat.",match,yes,full match,2,alive,match,match,critical,Musicians,Bruno_Mars.jpg,new,new,match,„,Im Jahr,2014,habe ich,das,Das,Lied,‚,Uptown Funk,‘,herausgebracht,",",“,das stellte,Bruno Mars,Bruno Mars,Adele,yes,bei einer Pressekonferenz fest.
50,25,99,a,99a,"„Im Jahr*1975*habe ich*das Lied*‚I Shot The Sheriff‘*herausgebracht,“*das stellte*Bob Marley*bei einer Pressekonferenz fest.","Er stellte fest, dass er 1975 ""I Shot The Sheriff"" herausgebracht hat.",match,yes,full match,2,dead,match,match,critical,Musicians,Bob_Marley.jpg,old,old,match,„,Im Jahr,1975,habe ich,das,Das,Lied,‚,I Shot The Sheriff,‘,herausgebracht,",",“,das stellte,Bob Marley,Bob Marley,John Lennon,yes,bei einer Pressekonferenz fest.
53,27,106,c,106c,"„Im Jahr*2017*habe ich*das Lied*‚Cream‘*aufgenommen,“*das berichtete*Prince*auf einer Aftershowparty.","Er berichtete, dass er 2019 ""Cream"" aufgenommen hat.",year_mismatch,no,life mismatch,5,dead,mismatch,match,critical,Musicians,Prince.jpg,old,old,match,„,Im Jahr,2017,habe ich,das,Das,Lied,‚,Cream,‘,aufgenommen,",",“,das berichtete,Prince,Prince,Freddie Mercury,yes,auf einer Aftershowparty.
54,27,108,c,108c,"„Im Jahr*1991*habe ich*das Lied*‚Shape of You‘*aufgenommen,“*das berichtete*Ed Sheeran*auf einer Aftershowparty.","Er berichtete, dass er 1993 ""Shape of You"" aufgenommen hat.",year_mismatch,no,life mismatch,5,alive,mismatch,match,critical,Musicians,Ed_Sheeran.jpg,new,new,match,„,Im Jahr,1991,habe ich,das,Das,Lied,‚,Shape of You,‘,aufgenommen,",",“,das berichtete,Ed Sheeran,Ed Sheeran,Harry Styles,yes,auf einer Aftershowparty.
57,29,114,a,114a,"„Im Jahr*2013*habe ich*das Lied*‚Gangnam Style‘*veröffentlicht,“*das äußerte*Psy*gegenüber interessierten Fans.","Er äußerte, dass er 2010 ""Gentleman"" veröffentlicht hat.",year_fact_mismatch,no,full match,5,alive,match,match,critical,Musicians,Psy.jpg,new,new,match,„,Im Jahr,2013,habe ich,das,Das,Lied,‚,Gangnam Style,‘,veröffentlicht,",",“,das äußerte,Psy,Psy,Helene Fischer,yes,gegenüber interessierten Fans.
58,29,116,a,116a,"„Im Jahr*1967*habe ich*das Lied*‚What a Wonderful World‘*veröffentlicht,“*das äußerte*Louis Armstrong*gegenüber interessierten Fans.","Er äußerte, dass er 1967 ""Hello, Dolly!"" veröffentlicht hat.",fact_mismatch,no,full match,5,dead,match,match,critical,Musicians,Louis_Armstrong.jpg,old,old,match,„,Im Jahr,1967,habe ich,das,Das,Lied,‚,What a Wonderful World,‘,veröffentlicht,",",“,das äußerte,Louis Armstrong,Louis Armstrong,Marlene Dietrich,yes,gegenüber interessierten Fans.
59,30,117,d,117d,"„Im Jahr*2011*habe ich*das Lied*‚Stormy Blues‘*herausgebracht,“*das schilderte*Elvis Presley*in einem Interview.",Er schilderte das in einem Interview.,match,yes,life-fact mismatch,3,dead,mismatch,mismatch,critical,Musicians,Elvis_Presley.jpg,old,old,match,„,Im Jahr,2011,habe ich,das,Das,Lied,‚,Stormy Blues,‘,herausgebracht,",",“,das schilderte,Elvis Presley,Elvis Presley,Billie Holiday,no,in einem Interview.
60,30,119,d,119d,"„Im Jahr*1956*habe ich*das Lied*‚Call Me Maybe‘*herausgebracht,“*das schilderte*Lady Gaga*in einem Interview.","Sie schilderte, dass sie 1956 ""Marry the Night"" herausgebracht hat.",fact_mismatch,no,life-fact mismatch,3,alive,mismatch,mismatch,critical,Musicians,Lady_Gaga.jpg,new,new,match,„,Im Jahr,1956,habe ich,das,Das,Lied,‚,Call Me Maybe,‘,herausgebracht,",",“,das schilderte,Lady Gaga,Lady Gaga,Carly Rae Jepsen,no,in einem Interview.
61,31,121,c,121c,"„Im Jahr*2010*habe ich*das Lied*‚I Put a Spell on You‘*aufgenommen,“*das behauptete*Nina Simone*auf einer Aftershowparty.","Sie behauptete, dass sie 2012 ""My Baby Just Cares for Me"" aufgenommen hat.",year_fact_mismatch,no,life mismatch,3,dead,mismatch,match,critical,Musicians,Nina_Simone.jpg,old,old,match,„,Im Jahr,2010,habe ich,das,Das,Lied,‚,I Put a Spell on You,‘,aufgenommen,",",“,das behauptete,Nina Simone,Nina Simone,Bob Dylan,yes,auf einer Aftershowparty.
62,31,123,c,123c,"„Im Jahr*1965*habe ich*das Lied*‚Love the Way You Lie‘*aufgenommen,“*das behauptete*Rihanna*auf einer Aftershowparty.","Sie behauptete, dass sie 1962 ""Rehab"" aufgenommen hat.",year_fact_mismatch,no,life mismatch,3,alive,mismatch,match,critical,Musicians,Rihanna.jpg,new,new,match,„,Im Jahr,1965,habe ich,das,Das,Lied,‚,Love the Way You Lie,‘,aufgenommen,",",“,das behauptete,Rihanna,Rihanna,Shakira,yes,auf einer Aftershowparty.
83,2,5,a,5a,"„Im Jahr*2018*habe ich*das Lied*‚Je ne parle pas français‘*aufgenommen,“*das verkündete*Namika*gegenüber der Presse.","Sie verkündete, dass sie 2018 ""Lieblingsmensch"" aufgenommen hat.",fact_mismatch,no,full match,3,alive,match,match,critical,Musicians,Namika.jpg,NA,Das,NA,„,Im Jahr,2018,habe ich,das,Das,Lied,‚,Je ne parle pas français,‘,aufgenommen,",",“,das verkündete,Namika,Namika,Childish Gambino,NA,gegenüber der Presse.
84,2,7,a,7a,"„Im Jahr*1982*habe ich*das Lied*‚Under Pressure‘*aufgenommen,“*das verkündete*David Bowie*gegenüber der Presse.",Er verkündete das gegenüber der Presse.,match,yes,full match,3,dead,match,match,critical,Musicians,David_Bowie.jpg,NA,Das,NA,„,Im Jahr,1982,habe ich,das,Das,Lied,‚,Under Pressure,‘,aufgenommen,",",“,das verkündete,David Bowie,David Bowie,Michael Jackson,NA,gegenüber der Presse.
93,7,25,d,25d,"„Im Jahr*2020*habe ich*das Turnier im*Boxen*gewonnen,“*das berichtete*Niki Lauda*einer Nachrichtenagentur.","Er berichtete, dass er das Turnier 2020 gewonnen hat.",match,yes,life-fact mismatch,2,dead,mismatch,mismatch,critical,Athletes,Niki_Lauda.jpg,old,old,match,„,Im Jahr,2020,habe ich,das,Ein,Turnier im,,Boxen,,gewonnen,",",“,das berichtete,Niki Lauda,Niki Lauda,Muhammad Ali,yes,einer Nachrichtenagentur.
94,7,27,d,27d,"„Im Jahr*1975*habe ich*das Turnier im*Fußball*gewonnen,“*das berichtete*Serena Williams*einer Nachrichtenagentur.","Sie berichtete, dass sie 1973 das Turnier im Badminton gewonnen hat.",year_fact_mismatch,no,life-fact mismatch,2,alive,mismatch,mismatch,critical,Athletes,Serena_Williams.jpg,new,new,match,„,Im Jahr,1975,habe ich,das,Ein,Turnier im,,Fußball,,gewonnen,",",“,das berichtete,Serena Williams,Serena Williams,Lionel Messi,yes,einer Nachrichtenagentur.
99,10,37,a,37a,"„Im Jahr*2015*habe ich*in dem Film*‚Terminator: Genisys‘*die Hauptrolle gespielt,“*das schilderte*Arnold Schwarzenegger*interessierten Fans.","Er verkündete, dass er 2015 die Hauptrolle gespielt hat.",match,yes,full match,7,alive,match,match,critical,Actors,Arnold_Schwarzenegger.jpg,new,new,match,„,Im Jahr,2015,habe ich,in dem,Der,Film,‚,Terminator: Genisys,‘,die Hauptrolle gespielt,",",“,das schilderte,Arnold Schwarzenegger,Arnold Schwarzenegger,Jennifer Lawrence,no,interessierten Fans.
100,10,39,a,39a,"„Im Jahr*1940*habe ich*in dem Film*‚Der große Diktator‘*die Hauptrolle gespielt,“*das schilderte*Charlie Chaplin*interessierten Fans.","Er schilderte, dass er 1943 in ""Der große Diktator"" die Hauptrolle gespielt hat.",year_mismatch,no,full match,7,dead,match,match,critical,Actors,Charlie_Chaplin.jpg,old,old,match,„,Im Jahr,1940,habe ich,in dem,Der,Film,‚,Der große Diktator,‘,die Hauptrolle gespielt,",",“,das schilderte,Charlie Chaplin,Charlie Chaplin,Joan Fontaine,no,interessierten Fans.
103,12,46,c,46c,"„Im Jahr*2020*habe ich*mein Engagement für die*Abschaffung der Apartheid*vorangetrieben,“*das verkündete*Nelson Mandela*auf einer Pressekonferenz.","Er verkündete, dass er 2018 sein Engagement für gesündere Ernährung vorangetrieben hat.",year_fact_mismatch,no,life mismatch,4,dead,mismatch,match,critical,Activist,Nelson_Mandela.jpg,new,old,mismatch,„,Im Jahr,2020,habe ich,mein,,Engagement für die,,Abschaffung der Apartheid,,vorangetrieben,",",“,das verkündete,Nelson Mandela,Nelson Mandela,Martin Luther King,no,auf einer Pressekonferenz.
104,12,48,c,48c,"„Im Jahr*1955*habe ich*mein Engagement für die*Rechte junger Frauen*vorangetrieben,“*das verkündete*Malala Yousafzai*auf einer Pressekonferenz.","Sie verkündete, dass sie 1955 ihr Engagement für die Rechte junger Frauen vorangetrieben hat.",match,yes,life mismatch,4,alive,mismatch,match,critical,Activist,Malala_Yousafzai.jpg,old,new,mismatch,„,Im Jahr,1955,habe ich,mein,,Engagement für die,,Rechte junger Frauen,,vorangetrieben,",",“,das verkündete,Malala Yousafzai,Malala Yousafzai,Greta Thunberg,no,auf einer Pressekonferenz.
113,17,65,b,65b,"„Im Jahr*2017*habe ich*die Nation*Frankreich*regiert,“*das berichtete*Wladimir Putin*einer Tageszeitung.","Er berichtete, dass er das Land 2017 regiert hat.",match,yes,fact mismatch,1,alive,match,mismatch,critical,Policitians,Wladimir_Putin.jpg,new,new,match,„,Im Jahr,2017,habe ich,die,Die,Nation,,Frankreich,,regiert,",",“,das berichtete,Wladimir Putin,Wladimir Putin,Emmanuel Macron,yes,einer Tageszeitung.
114,17,67,b,67b,"„Im Jahr*1942*habe ich*die Nation*Großbritannien*regiert,“*das berichtete*Franklin D. Roosevelt*einer Tageszeitung.","Er berichtete, dass er Großbritannien regiert hat.",match,yes,fact mismatch,1,dead,match,mismatch,critical,Policitians,Franklin_D._Roosevelt.jpg,old,old,match,„,Im Jahr,1942,habe ich,die,Die,Nation,,Großbritannien,,regiert,",",“,das berichtete,Franklin D. Roosevelt,Franklin D. Roosevelt,Winston Churchill,yes,einer Tageszeitung.
119,20,78,c,78c,"„Im Jahr*2008*habe ich*meine Erfindung*‚Ford Model T‘*vermarktet,“*das schilderte*Henry Ford*einer Tageszeitung.","Er schilderte, dass er 2010 das Ford Model T vermarktet hat.",year_mismatch,no,life mismatch,7,dead,mismatch,match,critical,Creators,Henry_Ford.jpg,old,old,match,„,Im Jahr,2008,habe ich,meine,Die,Erfindung,‚,Ford Model T,‘,vermarktet,",",“,das schilderte,Henry Ford,Henry Ford,Thomas Edison,no,einer Tageszeitung.
120,20,80,c,80c,"„Im Jahr*1908*habe ich*meine Erfindung*‚Facebook‘*vermarktet,“*das schilderte*Mark Zuckerberg*einer Tageszeitung.",Er schilderte das einer Tageszeitung.,match,yes,life mismatch,7,alive,mismatch,match,critical,Creators,Mark_Zuckerberg.jpg,new,new,match,„,Im Jahr,1908,habe ich,meine,Die,Erfindung,‚,Facebook,‘,vermarktet,",",“,das schilderte,Mark Zuckerberg,Mark Zuckerberg,Elon Musk,no,einer Tageszeitung.
123,22,86,a,86a,"„Im Jahr*2018*habe ich*in dem Film*‚The Favourite‘*mitgespielt,“*das verkündete*Emma Stone*auf dem roten Teppich.","Sie verkündete, dass sie in ""The Favourite"" mitgespielt hat.",match,yes,full match,7,alive,match,match,critical,Actors,Emma_Stone.jpg,NA,Der,NA,„,Im Jahr,2018,habe ich,in dem,Der,Film,‚,The Favourite,‘,mitgespielt,",",“,das verkündete,Emma Stone,Emma Stone,Bradley Cooper,NA,auf dem roten Teppich.
124,22,88,a,88a,"„Im Jahr*1962*habe ich*in dem Film*‚Der längste Tag‘*mitgespielt,“*das verkündete*John Wayne*auf dem roten Teppich.","Er verkündete, dass er 1960 in ""Der längste Tag"" mitgespielt hat.",year_mismatch,no,full match,7,dead,match,match,critical,Actors,John_Wayne.jpg,NA,Der,NA,„,Im Jahr,1962,habe ich,in dem,Der,Film,‚,Der längste Tag,‘,mitgespielt,",",“,das verkündete,John Wayne,John Wayne,Omar Sharif,NA,auf dem roten Teppich.
129,25,97,b,97b,"„Im Jahr*2014*habe ich*das Lied*‚Uptown Funk‘*herausgebracht,“*das stellte*Adele*bei einer Pressekonferenz fest.",Sie stellte das bei einer Pressekonferenz fest.,match,yes,fact mismatch,8,alive,match,mismatch,critical,Musicians,Adele.jpg,new,new,match,„,Im Jahr,2014,habe ich,das,Das,Lied,‚,Uptown Funk,‘,herausgebracht,",",“,das stellte,Adele,Adele,Bruno Mars,yes,bei einer Pressekonferenz fest.
130,25,99,b,99b,"„Im Jahr*1975*habe ich*das Lied*‚I Shot The Sheriff‘*herausgebracht,“*das stellte*John Lennon*bei einer Pressekonferenz fest.","Er stellte fest, dass er 1975 ""Imagine"" herausgebracht hat.",fact_mismatch,no,fact mismatch,8,dead,match,mismatch,critical,Musicians,John_Lennon.jpg,old,old,match,„,Im Jahr,1975,habe ich,das,Das,Lied,‚,I Shot The Sheriff,‘,herausgebracht,",",“,das stellte,John Lennon,John Lennon,Bob Marley,yes,bei einer Pressekonferenz fest.
133,27,106,d,106d,"„Im Jahr*2017*habe ich*das Lied*‚Cream‘*aufgenommen,“*das berichtete*Freddie Mercury*auf einer Aftershowparty.",Er berichtete das auf einer Aftershowparty.,match,yes,life-fact mismatch,7,dead,mismatch,mismatch,critical,Musicians,Freddie_Mercury.jpg,old,old,match,„,Im Jahr,2017,habe ich,das,Das,Lied,‚,Cream,‘,aufgenommen,",",“,das berichtete,Freddie Mercury,Freddie Mercury,Prince,yes,auf einer Aftershowparty.
134,27,108,d,108d,"„Im Jahr*1991*habe ich*das Lied*‚Shape of You‘*aufgenommen,“*das berichtete*Harry Styles*auf einer Aftershowparty.","Er berichtete, dass er 1993 ""Shape of You"" aufgenommen hat.",year_mismatch,no,life-fact mismatch,7,alive,mismatch,mismatch,critical,Musicians,Harry_Styles.jpg,new,new,match,„,Im Jahr,1991,habe ich,das,Das,Lied,‚,Shape of You,‘,aufgenommen,",",“,das berichtete,Harry Styles,Harry Styles,Ed Sheeran,yes,auf einer Aftershowparty.
137,29,114,b,114b,"„Im Jahr*2013*habe ich*das Lied*‚Gangnam Style‘*veröffentlicht,“*das äußerte*Helene Fischer*gegenüber interessierten Fans.","Sie äußerte, dass sie 2013 ""Herzbeben"" veröffentlicht hat.",fact_mismatch,no,fact mismatch,3,alive,match,mismatch,critical,Musicians,Helene_Fischer.jpg,new,new,match,„,Im Jahr,2013,habe ich,das,Das,Lied,‚,Gangnam Style,‘,veröffentlicht,",",“,das äußerte,Helene Fischer,Helene Fischer,Psy,yes,gegenüber interessierten Fans.
138,29,116,b,116b,"„Im Jahr*1967*habe ich*das Lied*‚What a Wonderful World‘*veröffentlicht,“*das äußerte*Marlene Dietrich*gegenüber interessierten Fans.","Sie äußerte, dass sie 1967 ""Lili Marleen"" veröffentlicht hat.",fact_mismatch,no,fact mismatch,3,dead,match,mismatch,critical,Musicians,Marlene_Dietrich.jpg,old,old,match,„,Im Jahr,1967,habe ich,das,Das,Lied,‚,What a Wonderful World,‘,veröffentlicht,",",“,das äußerte,Marlene Dietrich,Marlene Dietrich,Louis Armstrong,yes,gegenüber interessierten Fans.
139,30,118,a,118a,"„Im Jahr*2011*habe ich*das Lied*‚Bloody Mary‘*herausgebracht,“*das schilderte*Lady Gaga*in einem Interview.","Sie schilderte, dass sie 2011 ""Marry the Night"" herausgebracht hat.",fact_mismatch,no,full match,7,alive,match,match,critical,Musicians,Lady_Gaga.jpg,new,new,match,„,Im Jahr,2011,habe ich,das,Das,Lied,‚,Bloody Mary,‘,herausgebracht,",",“,das schilderte,Lady Gaga,Lady Gaga,Carly Rae Jepsen,no,in einem Interview.
140,30,120,a,120a,"„Im Jahr*1954*habe ich*das Lied*‚Love Me Tender‘*herausgebracht,“*das schilderte*Elvis Presley*in einem Interview.",Er schilderte das in einem Interview.,match,yes,full match,7,dead,match,match,critical,Musicians,Elvis_Presley.jpg,old,old,match,„,Im Jahr,1954,habe ich,das,Das,Lied,‚,Love Me Tender,‘,herausgebracht,",",“,das schilderte,Elvis Presley,Elvis Presley,Billie Holiday,no,in einem Interview.
141,31,121,d,121d,"„Im Jahr*2010*habe ich*das Lied*‚I Put a Spell on You‘*aufgenommen,“*das behauptete*Bob Dylan*auf einer Aftershowparty.","Er behauptete, dass er ""I Put a Spell on You"" aufgenommen hat.",match,yes,life-fact mismatch,5,dead,mismatch,mismatch,critical,Musicians,Bob_Dylan.png,old,old,match,„,Im Jahr,2010,habe ich,das,Das,Lied,‚,I Put a Spell on You,‘,aufgenommen,",",“,das behauptete,Bob Dylan,Bob Dylan,Nina Simone,yes,auf einer Aftershowparty.
142,31,123,d,123d,"„Im Jahr*1965*habe ich*das Lied*‚Love the Way You Lie‘*aufgenommen,“*das behauptete*Shakira*auf einer Aftershowparty.","Sie behauptete, dass sie 1970 ""Waka Waka"" aufgenommen hat.",year_fact_mismatch,no,life-fact mismatch,5,alive,mismatch,mismatch,critical,Musicians,Shakira.jpg,new,new,match,„,Im Jahr,1965,habe ich,das,Das,Lied,‚,Love the Way You Lie,‘,aufgenommen,",",“,das behauptete,Shakira,Shakira,Rihanna,yes,auf einer Aftershowparty.
163,2,5,b,5b,"„Im Jahr*2018*habe ich*das Lied*‚Je ne parle pas français‘*aufgenommen,“*das verkündete*Childish Gambino*gegenüber der Presse.","Er verkündete, dass er 2018 ""Je ne parle pas français"" aufgenommen hat.",match,yes,fact mismatch,1,alive,match,mismatch,critical,Musicians,Childish_Gambino.png,NA,Das,NA,„,Im Jahr,2018,habe ich,das,Das,Lied,‚,Je ne parle pas français,‘,aufgenommen,",",“,das verkündete,Childish Gambino,Childish Gambino,Namika,NA,gegenüber der Presse.
164,2,7,b,7b,"„Im Jahr*1982*habe ich*das Lied*‚Under Pressure‘*aufgenommen,“*das verkündete*Michael Jackson*gegenüber der Presse.","Er verkündete, dass er das Lied 1982 aufgenommen hat.",match,yes,fact mismatch,1,dead,match,mismatch,critical,Musicians,Michael_Jackson.png,NA,Das,NA,„,Im Jahr,1982,habe ich,das,Das,Lied,‚,Under Pressure,‘,aufgenommen,",",“,das verkündete,Michael Jackson,Michael Jackson,David Bowie,NA,gegenüber der Presse.
173,7,26,a,26a,"„Im Jahr*2020*habe ich*das Turnier im*Tennis*gewonnen,“*das berichtete*Serena Williams*einer Nachrichtenagentur.","Sie berichtete, dass sie 2015 das Turnier im Badminton gewonnen hat.",year_fact_mismatch,no,full match,5,alive,match,match,critical,Athletes,Serena_Williams.jpg,new,new,match,„,Im Jahr,2020,habe ich,das,Ein,Turnier im,,Tennis,,gewonnen,",",“,das berichtete,Serena Williams,Serena Williams,Lionel Messi,yes,einer Nachrichtenagentur.
174,7,28,a,28a,"„Im Jahr*1975*habe ich*das Turnier im*Autorennen*gewonnen,“*das berichtete*Niki Lauda*einer Nachrichtenagentur.","Er berichtete, dass er das Turnier 1975 gewonnen hat.",match,yes,full match,5,dead,match,match,critical,Athletes,Niki_Lauda.jpg,old,old,match,„,Im Jahr,1975,habe ich,das,Ein,Turnier im,,Autorennen,,gewonnen,",",“,das berichtete,Niki Lauda,Niki Lauda,Muhammad Ali,yes,einer Nachrichtenagentur.
